
4	10	-1656	0	-1656
2	11	-1680	0	-1680
2	10	-560	0	-560
3	12	-560	0	-560
4	11	-1120	0	-1120
3	9	-1120	0	-1120
3	11	-560	0	-560
4	9	-1120	0	-1120
2	9	-560	0	-560
1	10	-560	0	-560
3	10	-560	0	-560
2	12	-560	0	-560
4	12	-560	0	-560
5	11	-1120	0	-1120
1	12	-560	0	-560
1	11	-560	0	-560
2	13	-560	0	-560
8	8	-1656	0	-1656
6	9	-1680	0	-1680
6	8	-560	0	-560
7	10	-560	0	-560
8	9	-1120	0	-1120
7	7	-1120	-320	-1440
7	9	-560	-320	-880
8	7	-1120	0	-1120
6	7	-560	0	-560
5	8	-560	0	-560
7	8	-560	0	-560
6	10	-560	0	-560
8	10	-560	-320	-880
9	9	-1120	0	-1120
5	10	-560	0	-560
4	8	-560	0	-560
5	9	-560	0	-560
6	11	-560	0	-560
12	6	-1925	-160	-2085
10	7	-1680	0	-1680
10	6	-560	0	-560
11	8	-560	0	-560
12	7	-2736	0	-2736
11	5	-560	0	-560
12	5	-4819	-27400	-32219
10	5	-2099	-27200	-29299
9	6	-2099	-13400	-15499
11	6	-560	-160	-720
10	8	-560	0	-560
12	8	-1456	0	-1456
13	7	-2736	-160	-2896
9	8	-700	-13400	-14100
8	6	-560	0	-560
9	7	-560	0	-560
10	9	-700	-26800	-27500
16	6	-1839	-160	-1999
14	7	-2176	0	-2176
14	6	-2176	0	-2176
15	8	-896	0	-896
16	7	-3536	0	-3536
15	5	-2176	-160	-2336
15	7	-3536	-320	-3856
16	5	-3536	0	-3536
13	6	-2720	-13600	-16320
15	6	-2176	-160	-2336
14	8	-896	0	-896
16	8	-2256	0	-2256
17	7	-2256	0	-2256
13	5	-2176	0	-2176
15	4	-896	0	-896
18	7	-1360	-160	-1520
20	7	-1344	0	-1344
19	9	-1344	0	-1344
18	8	-1360	0	-1360
19	6	-1360	-160	-1520
19	8	-560	0	-560
21	7	-2464	0	-2464
20	6	-560	0	-560
18	6	-1360	0	-1360
19	7	-2464	0	-2464
17	8	-1360	0	-1360
18	9	-560	-160	-720
20	9	-2464	0	-2464
17	5	-1360	0	-1360
18	5	-1360	-160	-1520
17	6	-1360	-160	-1520
22	7	-784	-160	-944
21	10	-784	-160	-944
21	9	-784	0	-784
22	11	-784	0	-784
22	10	-784	0	-784
21	8	-1904	0	-1904
22	9	-784	-160	-944
21	11	-784	0	-784
20	10	-784	0	-784
19	10	-784	-160	-944
20	11	-784	0	-784
22	8	-784	0	-784
